Date,Mated,Eggs ,Level
6/10/2020,Y,132,High
6/24/2020,Y,0,Low
7/1/2020,Y,49,Medium
7/1/2020,N,0,Low
7/1/2020,N,0,Low
7/8/2020,N,0,Low
7/8/2020,Y,0,Low
7/8/2020,Y,2,Low
7/8/2020,N,0,Low
7/8/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,N,0,Low
6/10/2020,Y,5,Low
6/24/2020,N,0,Low
6/24/2020,Y,16,Low
7/1/2020,Y,13,Low
7/1/2020,N,55,High
7/8/2020,N,0,Low
7/8/2020,N,1,Low
7/8/2020,N,0,Low
7/8/2020,N,0,Low
7/8/2020,N,0,Low
7/15/2020,Y,104,High
7/15/2020,N,0,Low
7/15/2020,N,0,Low
7/15/2020,Y,82,High
7/15/2020,N,0,Low
