Date,Row,Probes
7/15/2020,T4,380.64
7/15/2020,T4C,474.14
7/15/2020,T5,334.38
7/15/2020,T5C,292.48
7/8/2020,T4,292.74
7/8/2020,T4C,257.18
7/8/2020,T5,321.88
7/8/2020,T5C,294.68
7/1/2020,T4,287.9
7/1/2020,T4C,261.86
7/1/2020,T5,285.041
7/1/2020,T5C,239.26
6/24/2020,T1,280.52
6/24/2020,T1C,151.44
6/24/2020,T4,265.8
6/24/2020,T4C,183.92
6/24/2020,T5,265.88
6/24/2020,T5C,189.36
6/24/2020,T8,284.68
6/24/2020,T8C,159.76
6/18/2020,T1,192.75
6/18/2020,T1C,123.36
6/18/2020,T4,136.64
6/18/2020,T4C,73.96
6/18/2020,T5,167.48
6/18/2020,T5C,144.4
6/18/2020,T8,234.88
6/18/2020,T8C,128.52
6/10/2020,T1,83.16
6/10/2020,T1C,57.96
6/10/2020,T4,86.36
6/10/2020,T4C,68.76
6/10/2020,T5,56.32
6/10/2020,T5C,77.4
6/10/2020,T8,147.417
6/10/2020,T8C,110.08
,,
,,
,,
