Date,Row,Section,Specimen,Species,Mated,Eggs ,Sex,Treatment
6/10/2020,T5,I,1,NV,Y,132,F,T
6/24/2020,T5,II,1,NV,Y,0,F,T
7/1/2020,T4,I,1,NV,Y,49,F,T
7/1/2020,T4,II,1,NV,N,0,F,T
7/1/2020,T4,V,1,NV,N,0,F,T
7/8/2020,T4,I,1,NV,N,0,F,T
7/8/2020,T4,III,1,NV,Y,0,F,T
7/8/2020,T4,IV,1,NV,Y,2,F,T
7/8/2020,T4,IV,2,NV,N,0,F,T
7/8/2020,T5,II,1,NV,N,0,F,T
7/15/2020,T4,I,1,NV,N,0,F,T
7/15/2020,T4,I,2,NV,N,0,F,T
7/15/2020,T4,II,1,NV,N,0,F,T
7/15/2020,T4,III,1,NV,N,0,F,T
7/15/2020,T4,V,1,NV,N,0,F,T
7/15/2020,T5,III,1,NV,N,0,F,T
7/15/2020,T5,IV,1,NV,N,0,F,T
7/15/2020,T5,IV,2,NV,N,0,F,T
6/10/2020,T5C,III,1,NV,Y,5,F,C
6/24/2020,T4C,III,1,NV,N,0,F,C
6/24/2020,T4C,V,1,NV,Y,16,F,C
7/1/2020,T4C,II,1,NV,Y,13,F,C
7/1/2020,T4C,II,2,NV,N,55,F,C
7/8/2020,T4C,III,1,NV,N,0,F,C
7/8/2020,T5C,II,1,NV,N,1,F,C
7/8/2020,T5C,II,2,NV,N,0,F,C
7/8/2020,T5C,III,1,NV,N,0,F,C
7/8/2020,T5C,V,1,NV,N,0,F,C
7/15/2020,T4C,II,1,NV,Y,104,F,C
7/15/2020,T4C,II,2,NV,N,0,F,C
7/15/2020,T4C,IV,1,NV,N,0,F,C
7/15/2020,T4C,IV,2,NV,Y,82,F,C
7/15/2020,T5C,IV,1,NV,N,0,F,C
6/24/2020,T4C,V,,NV,,,M,C
7/1/2020,T4,I,,NV,,,M,T
7/1/2020,T4,II,,NV,,,M,T
7/1/2020,T4,II,,NV,,,M,T
7/1/2020,T4,III,,NV,,,M,T
7/1/2020,T4C,II,,NV,,,M,C
7/1/2020,T4C,V,,NV,,,M,C
7/8/2020,T5,I,,NV,,,M,T
7/8/2020,T5,IV,,NV,,,M,T
7/8/2020,T5,IV,,NV,,,M,T
7/8/2020,T5,V,,NV,,,M,T
7/8/2020,T4C,V,,NV,,,M,C
7/8/2020,T5C,III,,NV,,,M,C
7/8/2020,T5C,V,,NV,,,M,C
7/15/2020,T4,I,,NV,,,M,T
7/15/2020,T4,II,,NV,,,M,T
7/15/2020,T4,III,,NV,,,M,T
7/15/2020,T4,IV,,NV,,,M,T
7/15/2020,T4,IV,,NV,,,M,T
7/15/2020,T4,V,,NV,,,M,T
7/15/2020,T4,V,,NV,,,M,T
7/15/2020,T5,I,,NV,,,M,T
7/15/2020,T5,IV,,NV,,,M,T
7/15/2020,T5,V,,NV,,,M,T
7/15/2020,T4C,III,,NV,,,M,C
7/15/2020,T4C,IV,,NV,,,M,C
7/15/2020,T4C,IV,,NV,,,M,C
7/15/2020,T5C,I,,NV,,,M,C
7/15/2020,T5C,III,,NV,,,M,C
