Date,Week,Year,Species,Treatment,Location,Crop,Count 
5/13/2020,1,2020,NV,T,Sorghum,S,1
5/13/2020,1,2020,EQ,T,Sorghum,S,0
5/13/2020,1,2020,ES,T,Sorghum,S,0
5/13/2020,1,2020,Adults total,T,Sorghum,S,1
5/13/2020,1,2020,Nymphs,T,Sorghum,S,0
5/20/2020,2,2020,NV,T,Sorghum,S,10
5/20/2020,2,2020,EQ,T,Sorghum,S,0
5/20/2020,2,2020,ES,T,Sorghum,S,4
5/20/2020,2,2020,Adults total,T,Sorghum,S,14
5/20/2020,2,2020,Nymphs,T,Sorghum,S,0
5/27/2020,3,2020,NV,T,Sorghum,S,71
5/27/2020,3,2020,EQ,T,Sorghum,S,0
5/27/2020,3,2020,ES,T,Sorghum,S,5
5/27/2020,3,2020,Adults total,T,Sorghum,S,76
5/27/2020,3,2020,Nymphs,T,Sorghum,S,2
6/3/2020,4,2020,NV,T,Sorghum,S,19
6/3/2020,4,2020,EQ,T,Sorghum,S,0
6/3/2020,4,2020,ES,T,Sorghum,S,3
6/3/2020,4,2020,Adults total,T,Sorghum,S,22
6/3/2020,4,2020,Nymphs,T,Sorghum,S,0
6/10/2020,5,2020,NV,T,Sorghum,S,8
6/10/2020,5,2020,EQ,T,Sorghum,S,1
6/10/2020,5,2020,ES,T,Sorghum,S,2
6/10/2020,5,2020,Adults total,T,Sorghum,S,11
6/10/2020,5,2020,Nymphs,T,Sorghum,S,2
6/18/2020,6,2020,NV,T,Sorghum,S,21
6/18/2020,6,2020,EQ,T,Sorghum,S,0
6/18/2020,6,2020,ES,T,Sorghum,S,1
6/18/2020,6,2020,Adults total,T,Sorghum,S,22
6/18/2020,6,2020,Nymphs,T,Sorghum,S,0
6/24/2020,7,2020,NV,T,Sorghum,S,11
6/24/2020,7,2020,EQ,T,Sorghum,S,0
6/24/2020,7,2020,ES,T,Sorghum,S,1
6/24/2020,7,2020,Adults total,T,Sorghum,S,12
6/24/2020,7,2020,Nymphs,T,Sorghum,S,4
6/10/2020,5,2020,NV,C,Inner,T,1
6/10/2020,5,2020,EQ,C,Inner,T,0
6/10/2020,5,2020,ES,C,Inner,T,0
6/10/2020,5,2020,Adults total,C,Inner,T,1
6/10/2020,5,2020,Nymphs,C,Inner,T,73
6/18/2020,6,2020,NV,C,Inner,T,0
6/18/2020,6,2020,EQ,C,Inner,T,0
6/18/2020,6,2020,ES,C,Inner,T,0
6/18/2020,6,2020,Adults total,C,Inner,T,0
6/18/2020,6,2020,Nymphs,C,Inner,T,75
6/24/2020,7,2020,NV,C,Inner,T,3
6/24/2020,7,2020,EQ,C,Inner,T,1
6/24/2020,7,2020,ES,C,Inner,T,1
6/24/2020,7,2020,Adults total,C,Inner,T,5
6/24/2020,7,2020,Nymphs,C,Inner,T,59
7/1/2020,8,2020,NV,C,Inner,T,4
7/1/2020,8,2020,EQ,C,Inner,T,2
7/1/2020,8,2020,ES,C,Inner,T,0
7/1/2020,8,2020,Adults total,C,Inner,T,6
7/1/2020,8,2020,Nymphs,C,Inner,T,70
7/8/2020,9,2020,NV,C,Inner,T,8
7/8/2020,9,2020,EQ,C,Inner,T,1
7/8/2020,9,2020,ES,C,Inner,T,2
7/8/2020,9,2020,Adults total,C,Inner,T,11
7/8/2020,9,2020,Nymphs,C,Inner,T,52
7/15/2020,10,2020,NV,C,Inner,T,10
7/15/2020,10,2020,EQ,C,Inner,T,1
7/15/2020,10,2020,ES,C,Inner,T,2
7/15/2020,10,2020,Adults total,C,Inner,T,13
7/15/2020,10,2020,Nymphs,C,Inner,T,20
